"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2024","64,053.8","64,725.0","65,012.6","64,053.8","3.88M","-1.04%"
"07/09/2024","64,725.0","64,820.9","65,012.6","64,437.3","5.05M","-0.15%"
"07/08/2024","64,820.9","64,533.2","64,916.8","64,245.5","4.94M","0.60%"
"07/05/2024","64,437.3","63,670.2","64,725.0","63,670.2","4.18M","1.20%"
"07/04/2024","63,670.2","63,574.3","64,149.6","63,574.3","2.69M","0.30%"
"07/03/2024","63,478.4","63,478.4","63,574.3","63,286.6","1.33M","0.00%"
"07/02/2024","63,478.4","63,286.6","63,574.3","63,094.9","2.04M","0.30%"
"07/01/2024","63,286.6","63,094.9","63,286.6","62,615.4","1.91M","0.76%"
"06/28/2024","62,807.2","62,807.2","63,286.6","62,615.4","2.73M","0.31%"
"06/27/2024","62,615.4","62,519.5","62,903.1","62,423.6","2.71M","0.15%"
"06/26/2024","62,519.5","63,094.9","63,094.9","62,423.6","2.49M","-0.46%"
"06/25/2024","62,807.2","63,094.9","63,478.4","62,807.2","2.43M","0.00%"
"06/24/2024","62,807.2","63,382.5","63,862.0","62,615.4","3.85M","-0.76%"
"06/21/2024","63,286.6","63,766.1","64,341.4","63,286.6","3.97M","0.00%"
"06/20/2024","63,286.6","62,711.3","64,053.8","62,519.5","4.40M","1.07%"
"06/19/2024","62,615.4","63,286.6","63,286.6","62,423.6","6.16M","-0.91%"
"06/18/2024","63,190.8","63,766.1","63,766.1","63,190.8","2.75M","-0.15%"
"06/17/2024","63,286.6","63,574.3","63,862.0","63,286.6","3.62M","-0.30%"
"06/14/2024","63,478.4","64,245.5","64,533.2","63,478.4","4.12M","-1.05%"
"06/13/2024","64,149.6","64,245.5","64,629.1","64,053.8","2.80M","-0.15%"
"06/12/2024","64,245.5","63,766.1","64,533.2","63,574.3","3.43M","0.75%"
"06/11/2024","63,766.1","64,629.1","64,725.0","63,670.2","6.18M","-1.04%"
"06/10/2024","64,437.3","65,588.0","65,683.9","64,437.3","4.56M","-0.88%"
"06/07/2024","65,012.6","64,820.9","65,779.8","64,725.0","4.13M","0.89%"
"06/06/2024","64,437.3","66,163.3","66,163.3","64,437.3","4.89M","-1.90%"
"06/05/2024","65,683.9","63,478.4","66,355.1","63,478.4","11.87M","3.79%"
"06/04/2024","63,286.6","63,382.5","63,862.0","63,286.6","2.45M","-0.15%"
"06/03/2024","63,382.5","63,094.9","63,862.0","62,999.0","3.19M","1.07%"
"05/31/2024","62,711.3","63,190.8","63,190.8","62,615.4","4.14M","-0.46%"
"05/30/2024","62,999.0","63,382.5","63,478.4","62,807.2","4.41M","-0.90%"
"05/29/2024","63,574.3","64,245.5","64,533.2","63,286.6","3.36M","-0.75%"
"05/28/2024","64,053.8","63,574.3","64,533.2","63,382.5","5.35M","1.06%"
"05/27/2024","63,382.5","63,382.5","63,862.0","63,094.9","2.34M","0.15%"
"05/24/2024","63,286.6","63,957.9","64,149.6","62,999.0","4.10M","-1.49%"
"05/23/2024","64,245.5","63,286.6","64,245.5","63,094.9","2.99M","1.82%"
"05/22/2024","63,094.9","63,670.2","63,957.9","63,094.9","3.62M","-0.60%"
"05/21/2024","63,478.4","63,670.2","63,862.0","63,094.9","3.80M","-0.30%"
"05/20/2024","63,670.2","64,341.4","64,820.9","63,670.2","4.92M","-0.90%"
"05/17/2024","64,245.5","64,533.2","65,012.6","64,053.8","4.17M","-0.30%"
"05/16/2024","64,437.3","64,341.4","64,916.8","64,245.5","2.91M","0.30%"
"05/15/2024","64,245.5","64,149.6","64,533.2","63,957.9","3.23M","0.75%"
"05/14/2024","63,766.1","63,190.8","64,245.5","63,190.8","2.43M","1.06%"
"05/13/2024","63,094.9","63,862.0","64,053.8","62,711.3","2.73M","-1.05%"
"05/10/2024","63,766.1","63,957.9","64,725.0","63,382.5","2.42M","-0.15%"
"05/09/2024","63,862.0","65,108.5","65,108.5","63,862.0","3.00M","-1.91%"
"05/08/2024","65,108.5","65,204.4","65,204.4","64,341.4","2.96M","-0.15%"
"05/07/2024","65,204.4","63,286.6","65,683.9","63,190.8","8.49M","3.34%"
"05/06/2024","63,094.9","63,094.9","63,670.2","62,807.2","2.26M","0.30%"
"05/03/2024","62,903.1","62,903.1","63,286.6","62,807.2","1.97M","0.31%"
"05/02/2024","62,711.3","62,711.3","62,807.2","62,231.9","2.56M","0.62%"
"04/26/2024","62,327.8","62,040.1","63,094.9","61,848.3","2.94M","0.46%"
"04/25/2024","62,040.1","61,368.9","62,136.0","61,273.0","1.92M","1.09%"
"04/24/2024","61,368.9","61,368.9","61,656.5","60,889.4","2.40M","0.79%"
"04/23/2024","60,889.4","61,560.6","61,656.5","60,601.8","2.01M","-0.78%"
"04/22/2024","61,368.9","62,040.1","62,615.4","61,368.9","2.04M","-0.31%"
"04/19/2024","61,560.6","61,560.6","61,752.4","60,697.7","4.52M","0.00%"
"04/17/2024","61,560.6","61,752.4","62,231.9","61,560.6","4.59M","0.31%"
"04/16/2024","61,368.9","62,231.9","62,327.8","60,410.0","7.13M","-1.39%"
"04/15/2024","62,231.9","63,957.9","63,957.9","62,231.9","5.76M","-2.70%"
"04/12/2024","63,957.9","64,053.8","64,341.4","63,862.0","2.51M","0.15%"
"04/11/2024","63,862.0","63,957.9","64,149.6","63,766.1","2.95M","-0.30%"
"04/10/2024","64,053.8","64,341.4","64,533.2","64,053.8","2.77M","-0.30%"
"04/09/2024","64,245.5","64,341.4","64,533.2","64,053.8","2.52M","0.00%"
"04/08/2024","64,245.5","65,204.4","65,204.4","64,149.6","3.67M","-1.33%"
"04/05/2024","65,108.5","65,396.2","65,396.2","64,916.8","4.23M","-0.44%"
"04/04/2024","65,396.2","63,957.9","65,588.0","63,957.9","7.47M","2.25%"
"04/03/2024","63,957.9","64,533.2","64,533.2","63,957.9","5.05M","-0.89%"
"04/02/2024","64,533.2","64,245.5","64,629.1","63,957.9","4.32M","0.45%"
"04/01/2024","64,245.5","64,820.9","64,916.8","64,245.5","4.99M","-0.89%"
"03/29/2024","64,820.9","65,588.0","65,588.0","64,725.0","3.48M","-0.15%"
"03/28/2024","64,916.8","64,916.8","65,588.0","64,820.9","4.47M","0.00%"
"03/27/2024","64,916.8","65,204.4","65,204.4","64,725.0","2.64M","0.00%"
"03/26/2024","64,916.8","64,629.1","65,108.5","64,533.2","2.50M","0.59%"
"03/25/2024","64,533.2","65,108.5","65,396.2","64,341.4","5.45M","-0.74%"
"03/22/2024","65,012.6","65,779.8","65,875.6","65,012.6","6.07M","-0.88%"
"03/21/2024","65,588.0","65,396.2","65,683.9","65,108.5","4.91M","0.59%"
"03/20/2024","65,204.4","65,012.6","65,779.8","64,725.0","3.55M","0.30%"
"03/19/2024","65,012.6","65,683.9","65,683.9","65,012.6","3.16M","-0.15%"
"03/18/2024","65,108.5","65,971.5","66,259.2","64,820.9","6.80M","-1.31%"
"03/15/2024","65,971.5","67,218.1","67,218.1","65,875.6","4.85M","-1.15%"
"03/14/2024","66,738.6","67,212.0","67,496.0","66,549.3","5.45M","-0.42%"
"03/13/2024","67,022.6","66,360.0","67,117.3","66,265.3","5.65M","1.14%"
"03/12/2024","66,265.3","66,644.0","66,833.3","66,265.3","3.84M","-0.43%"
"03/11/2024","66,549.3","66,738.6","67,496.0","66,265.3","4.21M","0.43%"
"03/08/2024","66,265.3","68,253.3","69,010.6","66,265.3","7.36M","-2.78%"
"03/07/2024","68,158.6","67,874.6","68,253.3","67,496.0","5.07M","0.28%"
"03/06/2024","67,969.3","69,389.3","69,578.6","67,969.3","4.83M","-1.64%"
"03/05/2024","69,105.3","68,158.6","69,105.3","67,874.6","5.44M","1.39%"
"03/04/2024","68,158.6","67,969.3","68,821.3","67,780.0","5.01M","0.70%"
"03/01/2024","67,685.3","68,253.3","68,253.3","67,401.3","4.40M","-0.69%"
"02/29/2024","68,158.6","68,726.6","69,389.3","67,780.0","6.54M","-0.28%"
"02/28/2024","68,347.9","68,537.3","68,726.6","67,685.3","3.42M","0.28%"
"02/27/2024","68,158.6","67,401.3","68,537.3","67,306.6","5.28M","1.41%"
"02/26/2024","67,212.0","67,212.0","67,874.6","66,928.0","3.05M","0.00%"
"02/23/2024","67,212.0","67,969.3","68,821.3","67,212.0","6.14M","-0.84%"
"02/22/2024","67,780.0","67,496.0","68,821.3","67,306.6","4.65M","0.42%"
"02/21/2024","67,496.0","67,685.3","68,064.0","67,212.0","3.59M","-0.28%"
"02/20/2024","67,685.3","67,874.6","68,537.3","67,496.0","4.39M","-0.56%"
"02/19/2024","68,064.0","67,117.3","68,726.6","66,928.0","6.65M","2.71%"
"02/16/2024","66,265.3","64,182.7","66,549.3","63,898.7","11.11M","3.55%"
"02/15/2024","63,993.4","63,993.4","64,372.0","63,614.7","3.88M","0.00%"
"02/07/2024","63,993.4","63,993.4","64,277.4","63,614.7","2.74M","0.00%"
"02/06/2024","63,993.4","64,466.7","64,561.4","63,993.4","2.39M","-0.59%"
"02/05/2024","64,372.0","63,804.0","64,561.4","63,614.7","3.57M","0.89%"
"02/02/2024","63,804.0","63,898.7","64,088.0","63,425.4","2.61M","-0.15%"
